[1836, 713, 924, 5944, 5385, 4639, 8506, 4712, 9318, 3973, 19, 2335, 9951, 226, 4818, 6531, 7606, 8216, 4957, 9524, 5473, 9262, 8767, 6494, 5890, 5020, 5479, 8298, 3118, 3998, 8349, 9962, 5314, 4975, 9, 8712, 2087, 5728, 982, 8297, 6471, 1856, 8283, 1882, 6538, 1664, 3692, 2346, 7078, 1444, 9478, 2117, 5402, 8704, 129, 8868, 4082, 8508, 6321, 426, 4720, 1082, 9850, 4379, 7653, 9294, 8672, 8130, 900, 951, 8152, 9156, 4228, 9882, 6718, 5356, 5242, 3455, 1607, 6748, 2407, 1978, 2623, 6275, 6143, 3814, 6344, 6071, 5812, 802, 5080, 1217, 3737, 6210, 4580, 7098, 3647, 7642, 5637, 5852]
[5198, 2640, 9953, 6790, 3247, 8271, 6480, 6692, 9562, 3163, 1217, 4234, 8976, 9430, 2995, 9298, 2708, 2019, 9373, 6103, 2575, 2942, 339, 9844, 1793, 5031, 2166, 8768, 2508, 8021, 4417, 5095, 9838, 2022, 9909, 9337, 8350, 9468, 2266, 8676, 6500, 5204, 8751, 4613, 4513, 2790, 9072, 8056, 6351, 2461, 2514, 6505, 815, 939, 895, 7619, 7331, 680, 7894, 7075, 7910, 3258, 7034, 3919, 4990, 6492, 456, 6642, 5698, 6348, 754, 8818, 964, 8032, 5931, 8180, 6167, 3090, 402, 884, 8095, 5899, 2590, 9612, 4856, 5623, 5628, 698, 3008, 8523, 8396, 8164, 6796, 9686, 8671, 2575, 7752, 1479, 4843, 4717]
[4971, 2499, 7268, 9462, 3269, 4135, 2927, 8315, 7283, 259, 1868, 2087, 4798, 6916, 6907, 6251, 7, 5368, 1771, 1335, 6868, 8141, 8115, 2186, 2451, 2707, 6280, 6167, 6491, 9018, 960, 748, 7810, 9732, 7376, 271, 5257, 5680, 6731, 7297, 9129, 1811, 8415, 9462, 5435, 3476, 5189, 6272, 3358, 2943, 8629, 4793, 7072, 7533, 6542, 3679, 8283, 1212, 3561, 5603, 5354, 8860, 3598, 4567, 411, 7925, 1743, 7717, 706, 7464, 7549, 7646, 9083, 3006, 6582, 7094, 7100, 3957, 1193, 9123, 7010, 8950, 9572, 353, 5686, 3867, 7236, 8664, 9938, 1955, 5786, 5004, 6373, 7723, 7112, 8852, 6694, 7434, 5396, 1886]
[2844, 4779, 9871, 5710, 1600, 397, 2283, 4190, 30, 4135, 6251, 4777, 2749, 8288, 2704, 3838, 9838, 7453, 6216, 6333, 594, 3295, 9620, 6957, 3815, 2363, 4199, 7305, 7290, 5364, 9604, 3199, 4974, 2914, 6135, 5833, 1003, 5177, 5854, 2408, 8556, 7244, 3356, 2438, 2991, 8104, 1909, 4193, 2693, 9463, 5649, 3862, 7435, 8275, 9808, 6117, 1614, 1332, 274, 1117, 684, 2097, 2388, 3320, 7629, 9520, 7636, 2175, 6819, 586, 1165, 3811, 9727, 3063, 8189, 363, 8886, 1934, 6754, 1004, 8538, 4178, 1630, 7825, 7883, 8268, 589, 5689, 3921, 8806, 7156, 8370, 3525, 7570, 7011, 979, 6292, 8890, 5133, 199]
[3464, 4980, 4357, 1924, 5689, 1626, 2684, 4946, 9502, 7927, 7872, 3718, 2377, 9883, 608, 9860, 9042, 7981, 9149, 8765, 8436, 8585, 6603, 98, 6152, 9816, 6204, 5674, 8240, 6323, 6101, 6055, 2328, 4213, 7320, 27, 6989, 6552, 9867, 7010, 7014, 9254, 7269, 4598, 3194, 1079, 2312, 2075, 3681, 7755, 4141, 4825, 2286, 464, 1038, 1337, 4504, 9528, 6865, 9056, 9995, 4163, 1553, 7966, 1414, 4969, 5159, 4065, 622, 5446, 7406, 312, 3492, 7700, 741, 6343, 9802, 1976, 7156, 3178, 3987, 2578, 5935, 7807, 2572, 8029, 5741, 3797, 1890, 3199, 767, 7149, 9632, 9515, 1957, 869, 7128, 6558, 267, 1304]
[6456, 8210, 1323, 9104, 1089, 4717, 512, 4766, 4471, 4006, 6249, 1192, 9962, 8128, 7741, 3625, 1543, 7280, 6262, 5870, 4631, 3779, 8559, 2869, 5879, 3835, 7600, 1660, 3468, 1913, 2843, 8183, 8546, 3747, 5136, 8372, 4132, 9844, 1815, 9350, 8570, 3046, 5153, 2430, 203, 2592, 4984, 2330, 7833, 8757, 5127, 9762, 7439, 1594, 4920, 5317, 7908, 5811, 6791, 169, 2272, 7439, 9819, 5497, 8541, 4741, 434, 3586, 6270, 9230, 834, 2035, 6749, 9988, 5772, 62, 1546, 971, 2933, 6333, 237, 4011, 4428, 2640, 1308, 6176, 107, 7732, 8727, 1506, 7510, 2517, 3866, 8263, 4605, 7398, 2300, 451, 1732, 592]
[375, 4281, 3686, 2725, 4973, 8862, 169, 1603, 5720, 5834, 9363, 7122, 4944, 8854, 5554, 20, 8408, 1189, 8735, 1920, 974, 2973, 6561, 9348, 7444, 439, 4882, 4269, 2560, 2434, 7167, 2362, 2348, 2729, 281, 7236, 5215, 941, 1481, 7935, 9803, 6458, 1626, 3003, 6822, 3955, 7468, 4981, 4940, 9395, 9183, 5928, 283, 4348, 3424, 6323, 4803, 2895, 2056, 4210, 655, 2686, 8853, 3851, 142, 3475, 7761, 9399, 4628, 8519, 4231, 6489, 3754, 9230, 4517, 9104, 6196, 9150, 3772, 4687, 4311, 6316, 5113, 4105, 6881, 8657, 3196, 4618, 1971, 8970, 9629, 2262, 4161, 8854, 8526, 5882, 2925, 7002, 2784, 6314]
[2381, 702, 9452, 280, 1990, 7558, 7020, 111, 746, 7039, 3458, 7760, 1910, 3628, 3922, 2712, 905, 7314, 6237, 9069, 5272, 1727, 1534, 4311, 976, 7885, 6265, 7220, 6128, 6071, 4523, 555, 874, 7421, 2662, 9366, 848, 2992, 812, 7877, 7903, 815, 6400, 9845, 6729, 2689, 8405, 8222, 9180, 4356, 7776, 7916, 2936, 831, 2283, 544, 661, 8825, 1412, 2529, 1189, 8867, 8188, 7748, 2984, 9251, 2119, 2141, 3128, 2753, 4677, 9175, 1185, 2341, 3615, 1911, 2661, 7351, 2901, 6419, 1278, 5403, 2845, 6440, 3513, 3525, 8736, 7226, 8492, 4029, 7863, 1929, 1438, 6898, 2445, 5960, 2615, 9351, 6452, 7060]
[7142, 2787, 2824, 7078, 9791, 4182, 45, 2162, 8284, 1093, 7795, 3038, 1358, 1356, 2379, 915, 4159, 2684, 3642, 5910, 9706, 5383, 4764, 249, 1118, 8500, 2500, 4612, 5125, 9508, 8385, 1533, 4858, 9455, 3402, 8927, 7813, 560, 175, 2040, 5006, 761, 1998, 5824, 1820, 9539, 3285, 5307, 5181, 466, 5553, 6904, 8588, 8382, 4048, 4300, 9053, 9267, 9079, 832, 4924, 6827, 3808, 251, 9147, 9008, 9762, 1469, 4533, 8961, 894, 902, 7914, 8750, 6210, 2617, 7705, 6963, 6994, 4976, 9266, 5953, 4619, 6985, 5093, 3604, 4816, 89, 3215, 8479, 8518, 7948, 2616, 5178, 1430, 3506, 1856, 7756, 803, 1368]
[5835, 7613, 9124, 2425, 145, 2014, 70, 337, 2725, 3895, 1833, 6146, 1423, 9646, 5417, 2005, 6730, 3310, 4526, 1894, 6406, 4864, 7617, 3537, 2987, 4862, 9740, 5249, 8648, 6891, 9269, 8783, 3086, 271, 353, 4094, 6398, 1739, 7429, 9640, 8214, 5011, 5561, 4899, 1902, 392, 5808, 9304, 5795, 8595, 9587, 4205, 9118, 5925, 9164, 7368, 9684, 3437, 6363, 5302, 8898, 4349, 3964, 1736, 358, 2265, 6888, 6450, 9170, 213, 7081, 9698, 7454, 5275, 2553, 3491, 7355, 2763, 3653, 2384, 2333, 6484, 8427, 6944, 5447, 5780, 7711, 3683, 461, 8925, 3953, 87, 2417, 8100, 9544, 1570, 638, 101, 4681, 8165]
