[6518, 8110, 3432, 5680, 2529, 8301, 1311, 2081, 7404, 804]
[8064, 2054, 4796, 2110, 1318, 5380, 9719, 1222, 7467, 695]
[4434, 6327, 6745, 7187, 8845, 2733, 139, 1301, 8231, 8006]
[3553, 2299, 4603, 377, 8762, 1477, 4799, 2915, 8413, 8267]
[7913, 5744, 763, 7748, 101, 5097, 6916, 9456, 1700, 1235]
[1593, 3883, 2442, 883, 7171, 5073, 5104, 5546, 8626, 7520]
[37, 2735, 9910, 9657, 3627, 467, 8605, 7973, 1973, 4580]
[215, 9359, 4932, 8234, 3721, 8540, 1136, 1337, 6494, 1007]
[599, 407, 5678, 5481, 4259, 9530, 7415, 3123, 9225, 9664]
[8229, 7667, 6693, 7138, 5880, 6231, 1543, 2319, 137, 8661]
[7860, 4297, 2718, 2266, 8383, 5222, 318, 4419, 3363, 1150]
[737, 3600, 9241, 727, 3855, 2812, 6539, 8731, 4118, 5192]
[1208, 7834, 6062, 8215, 9001, 4833, 6762, 3667, 2202, 4602]
[5354, 6298, 4754, 182, 3327, 6545, 7664, 7405, 2572, 6326]
[8432, 4193, 2108, 459, 393, 2144, 6279, 5152, 6279, 8682]
[7770, 2861, 2714, 9322, 3068, 7612, 1744, 4905, 829, 32]
[3969, 3443, 8458, 2161, 4055, 1724, 2615, 8051, 4949, 8644]
[3246, 5391, 6989, 4137, 6208, 9134, 7315, 5233, 4568, 9239]
[6357, 4720, 1440, 2441, 9017, 8174, 3393, 9800, 1029, 4589]
[3402, 107, 4590, 3785, 6804, 6406, 3762, 9197, 5340, 8000]
[4283, 6162, 8848, 8282, 2929, 7492, 9949, 1369, 2433, 5273]
[460, 6023, 3669, 467, 7472, 5580, 9833, 254, 7856, 3744]
[2085, 8260, 6242, 9375, 8283, 666, 3458, 3091, 977, 7314]
[2136, 8964, 7006, 9359, 623, 2264, 499, 2805, 1268, 2615]
[7364, 2680, 2201, 8072, 9539, 8218, 5215, 1074, 7467, 5108]
[1960, 8906, 9988, 4129, 9394, 3064, 4677, 241, 7806, 9647]
[1329, 5823, 5510, 9412, 25, 6114, 7156, 7879, 8436, 8532]
[649, 6379, 9157, 4406, 9501, 4966, 8229, 5660, 4161, 5553]
[5492, 8263, 5909, 4223, 4145, 5784, 6216, 9934, 8581, 6966]
[3139, 8180, 1311, 7771, 9053, 4509, 5893, 330, 6426, 4712]
[4309, 9140, 2111, 3960, 8698, 1937, 6997, 5619, 6623, 5358]
[6538, 5384, 1078, 1620, 2185, 1504, 3092, 9855, 4379, 9422]
[910, 1833, 4131, 5561, 8328, 2415, 9101, 9561, 1711, 7386]
[5415, 4935, 3508, 9443, 9628, 8046, 1838, 1531, 7889, 5495]
[2477, 7658, 1176, 7771, 4753, 8960, 4916, 8681, 6550, 9746]
[6254, 6376, 8307, 3448, 3079, 4052, 141, 2944, 4340, 2731]
[7633, 9447, 5749, 5196, 5755, 3419, 5978, 5699, 8106, 4148]
[8444, 921, 6080, 1570, 7625, 7136, 3434, 683, 7006, 9637]
[768, 3226, 2719, 9804, 9719, 9069, 89, 158, 5962, 6751]
[6513, 7148, 5184, 8902, 4777, 708, 9158, 1108, 3400, 5265]
[8239, 8157, 9928, 3563, 4160, 2367, 2254, 4071, 6201, 2042]
[9226, 3019, 9761, 7422, 3223, 4502, 5536, 4656, 9328, 4365]
[5942, 3547, 886, 5943, 4893, 672, 6854, 8484, 8373, 3906]
[6572, 7102, 1895, 8438, 7387, 8315, 7536, 4662, 8412, 3977]
[4245, 198, 4866, 9418, 175, 4228, 6580, 1415, 8181, 3281]
[6094, 596, 1760, 5229, 694, 2431, 276, 5647, 4515, 539]
[4377, 1648, 1674, 621, 7574, 1238, 9227, 5932, 7031, 4691]
[7406, 45, 1954, 9757, 5543, 9099, 294, 8862, 5605, 4803]
[5922, 2724, 4419, 5496, 5393, 9246, 754, 5215, 9216, 1435]
[3001, 2474, 7732, 740, 417, 9342, 4469, 9159, 4525, 7459]
